sentence_id	words	labels
0	Correct	O
0	.	O
0	Enga	O
0	apa	O
0	military	O
0	da	O
0	oodi	B-CAUSE
0	vilaiyada	I-CAUSE
0	solli	I-CAUSE
0	tharuvaaaayaa	I-CAUSE
1	Dei	O
1	Rajini	O
1	pavam	O
1	da	O
1	ne	O
1	varaven	B-CAUSE
1	poraven	I-CAUSE
1	ellam	I-CAUSE
1	karithuppatha	I-CAUSE
1	koraiya	I-CAUSE
1	pesittu	I-CAUSE
1	erukkan	I-CAUSE
1	1:58	O
2	Dey	B-CAUSE
2	dey	I-CAUSE
2	deyyy	I-CAUSE
2	,	I-CAUSE
2	,	I-CAUSE
2	loosu	I-CAUSE
2	pasangala	I-CAUSE
2	,	I-CAUSE
2	,	O
2	munna	O
2	pinna	O
2	jayalalitha	O
2	amma	O
2	va	O
2	pathrukingalada	B-CAUSE
2	gambeeramna	O
2	ennanu	O
2	avanga	O
2	kannula	O
2	tha	O
2	paakanum	O
2	,	O
2	,	O
2	amma	O
2	oda	O
2	history	O
2	ah	O
2	ithu	O
2	,	O
2	,	O
2	soniya	O
2	gandhi	O
2	mari	O
2	iruku	O
2	chaiiii	B-CAUSE
2	,	I-CAUSE
2	,	I-CAUSE
2	,	O
2	avanga	B-CAUSE
2	bio	I-CAUSE
2	edukanumna	I-CAUSE
2	a-z	I-CAUSE
2	pathutu	I-CAUSE
2	vanthu	I-CAUSE
2	edungadaa	I-CAUSE
2	,	I-CAUSE
2	,	O
2	dummy	B-CAUSE
2	akkaathinga	I-CAUSE
3	Intha	O
3	maari	O
3	comments	O
3	ku	O
3	like	O
3	kekuravangala	O
3	india	B-CAUSE
3	va	I-CAUSE
3	vittu	I-CAUSE
3	veliya	I-CAUSE
3	annupanum	I-CAUSE
4	250	O
4	k	O
4	likes	O
4	ineram	O
4	sila	O
4	arivuketta	B-CAUSE
4	pundaika	I-CAUSE
4	ithku	I-CAUSE
4	karanam	I-CAUSE
4	vivek	O
4	obrai	O
4	ila	O
4	kajal	O
4	ila	O
4	aksara	O
4	kakathanu	O
4	innum	O
4	sollala	O
4	?	O
5	Short	O
5	film	O
5	ah	O
5	yum	O
5	vittu	B-CAUSE
5	vakalaya	I-CAUSE
5	...	I-CAUSE
5	Enada	I-CAUSE
5	panni	I-CAUSE
5	vachirukeenga	I-CAUSE
6	தமிழ்	O
6	நாட்ல	O
6	இருக்குற	O
6	சாதிய	O
6	பைத்தியகார	O
6	கூதியானுங்கள	B-CAUSE
6	எல்லாம்	O
6	ஓரே	O
6	இடத்தில்	O
6	பார்க்க	O
6	ஒரு	O
6	வாய்ப்பை	O
6	தந்த	O
6	மோகன்	O
6	வன்னிக்கு	O
6	சாரி	O
6	பன்னிக்கு	O
6	நன்றிகள்	O
7	Otha	B-CAUSE
7	vaaya	I-CAUSE
7	odachiruven	I-CAUSE
7	thalapathiya	I-CAUSE
7	pathu	O
7	sirichirukka	O
8	8000	O
8	dislike	O
8	people	O
8	should	O
8	die	B-CAUSE
8	as	I-CAUSE
8	soon	I-CAUSE
8	as	I-CAUSE
